0122=1963年1月22日 法国联邦德国合作条约签订
0122=1949年1月22日 中国共产党接管北平
0122=1928年1月22日 湘南起义
0122=1924年1月22日 英国工党首次执政
0122=1916年1月22日 《民国日报》创刊
0122=1905年1月22日 彼得堡的“流血星期日”
0122=1901年1月22日 维多利亚女王去世
0122=1788年1月22日 伟大的浪漫主义诗人拜伦诞辰
0122=1561年1月22日 第一个提出“知识就是力量”的人——培根
0122=754年1月22日 鉴真东渡到达日本
0123=1997年1月23日 韩国第二大钢铁企业韩宝钢铁公司破产
0123=1996年1月23日 江泽民给上将军衔获得者授衔
0123=1989年1月23日 亚洲卫星发射合同在京签署
0123=1984年1月23日 阿根廷、智利签署《和平友好联合声明》
0123=1967年1月23日 中共中央决定人民解放军“支左”
0123=1957年1月23日 世界上第一台醉酒呼吸分析仪首次在瑞典投入使用
0123=1942年1月23日 女作家萧红病逝
0123=1891年1月23日 意大利共产党创始人葛兰西诞辰
0123=1783年1月23日 《红与黑》的作者司汤达诞辰
0123=1368年1月23日 朱元璋建立明朝
0124=1994年1月24日 全国宣传思想工作会议召开
0124=1992年1月24日 我国与以色列建交
0124=1986年1月24日 海曼猝死球场
0124=1984年1月24日 邓小平视察深圳等特区并题词
0124=1984年1月24日 中国剧院建成
0124=1984年1月24日 美国批准研制第一个永久性载人空间站计划
0124=1981年1月24日 波兰数百万人罢工，争取5天工作制
0124=1965年1月24日 英国首相温斯顿·丘吉尔逝世
0124=1958年1月24日 英美科学家完成核聚变试验
0124=1956年1月24日 我国首次颁发科学奖金
0124=1938年1月24日 山东省政府主席韩复榘被处决
0124=1924年1月24日 黄埔军校开始筹建
0125=1997年1月25日 会泽特大假酒中毒案审结李荣平等五犯被执行枪决
0125=1986年1月25日 美国同利比亚断交，冻结财产
0125=1983年1月25日 美、英、荷共同研制的红外天文卫星升空
0125=1981年1月25日 最高人民法院特别法庭对林、江集团进行审判
0125=1974年1月25日 无产阶级革命家王稼祥逝世
0125=1949年1月25日 苏联及东欧5国发起成立经互会
0125=1941年1月25日 日军制造潘家峪惨案，死难者1200余人
0125=1911年1月25日 中国第一部专门刑法典颁布
0125=1874年1月25日 英国小说家、戏剧家毛姆诞辰
0125=1627年1月25日 近代化学的奠基人——波义尔
0125=1587年1月25日 民族英雄戚继光病逝
0125=1504年1月25日 意大利古代伟大艺术家米开朗琪罗完成大卫巨像雕刻
